750$,19VDE1F79EE010689,2014 Acura Ilx 20 Tech,#41701243,Copart,США,Ma - West Warren,Insurance company,B / 2523,2023-05-24,14:00:00,Ma - Cert Of Title-salvage,Collision,Rear End,Front End,Engine starts,125294 mi / actual,12383$,19482$,Automobile,2014,Acura,Ilx 20 Tech,Gray,Sedan 4d,Front-wheel Drive,Gas,2.0 L 4 cyl,Automatic
3750$,5J8TB4H55EL017558,2014 Acura Rdx Technology,#40407883,Copart,США,Il - Chicago North,Insurance company,-,2023-06-01,17:00:00,Il - Salvage Certificate,Collision,Front End,-,Run and drive,99155 mi / actual,15191$,9138$,Automobile,2014,Acura,Rdx Technology,Gray,4dr Spor,All Wheel Drive,Gas,3.5 L 6 cyl,Automatic
0$,5J8TB4H36EL016868,2014 Acura Rdx,#47576733,Copart,США,Pa - Pittsburgh West,Insurance company,C / 3003,2023-05-24,14:00:00,Pa - Certificate Of Salvage,Collision,Front End,Side,Stationary,0 mi / not actual,11740$,24159$,Automobile,2014,Acura,Rdx,Charcoal,-,All Wheel Drive,Gas,3.5 L 6 cyl,Automatic
1100$,19VDE1F36EE007889,2014 Acura Ilx 20,#50564493,Copart,США,Nj - Trenton,Third party,-,2023-05-25,01:00:00,Nj - Certificate Of Title,Donation,Front End,-,Stationary,0 mi / not actual,0$,0$,Automobile,2014,Acura,Ilx 20,Silver,-,Front-wheel Drive,Gas,2.0 L 4 cyl,Automatic
1800$,19UUA8F38EA002208,2014 Acura Tl Special Edition,#33365498,IAAI,США,Nc - Raleigh,Insurance company,-,2023-05-20,00:00:00,Nc - Salvage Rebuilt,Collision,Right Rear,Front & Rear,Run and drive,171577 mi / actual,13484$,15058$,Automobile,2014,Acura,Tl Special Edition,White,Sedan 4 Dr.,Front Wheel Drive,Gasoline,3.5 L 6 cyl,Automatic
1900$,5FRYD4H47EB016824,2014 Acura Mdx Tech Pkg,#36473482,IAAI,США,Al - Birmingham,Insurance company,A / 159,2023-05-24,14:30:00,Al - Salvage,Collision,Left Front,-,Engine starts,171054 mi / actual,15468$,0$,Automobile,2014,Acura,Mdx Tech Pkg,Gray,Wagon 4 Dr.,All Wheel Drive,Gasoline,3.5 L 6 cyl,Automatic
2025$,19VDE1F39EE008454,2014 Acura Ilx,#35794415,IAAI,США,Tx - Houston-north,Insurance company,-,2023-06-01,14:30:00,Tx - Non-repairable Flood,Water,Flood,Left Side,Stationary,99642 mi / not actual,13216$,0$,Automobile,2014,Acura,Ilx,Blue,Sedan,Front Wheel Drive,Gasoline,2.0 L 4 cyl,Automatic
200$,5J8TB4H51EL007321,2014 Acura Rdx Technology,#50055543,Copart,США,Nc - Concord,Insurance company,A / 1144,2023-05-25,14:00:00,Nc - Salvage Certificate Of Title,Collision,Front End,Side,Engine starts,106594 mi / not actual,15350$,13609$,Automobile,2014,Acura,Rdx Technology,Silver,-,All Wheel Drive,Gas,3.5 L 6 cyl,Automatic
950$,19VDE1F39EE000774,2014 Acura Ilx,#36109430,IAAI,США,Ga - Atlanta East,Insurance company,-,2023-05-20,00:00:00,Ga - Salvage,Collision,Front End,Unknown,Run and drive,168575 mi / actual,9256$,9591$,Automobile,2014,Acura,Ilx,Blue,Sedan,Front Wheel Drive,Gasoline,2.0 L 4 cyl,Automatic
3700$,5J8TB3H3XEL011876,2014 Acura Rdx,#36174657,IAAI,США,Ar - Fayetteville,Insurance company,-,2023-05-20,00:00:00,Fl - Rebuildable,Collision,Front End,-,Run and drive,112556 mi / actual,14728$,0$,Automobile,2014,Acura,Rdx,Black,Wagon 4 Dr.,Front Wheel Drive,Gasoline,3.5 L 6 cyl,Automatic
